id,path_id,English,Welsh,1951,1961,1971,1981,1991,2001,2011
1,10,Ynys Môn,Ynys Môn,,,,,62,60.1,57.2
2,4276-8,Gwynedd,Gwynedd,,,,,72.1,69,65.4
3,14,Conwy,Conwy,,,,,30.6,29.4,27.4
4,4190,Sir Ddinbych,Sir Ddinbych,,,,,26.9,26.4,24.6
5,4192,Sir y Ffflint,Sir y Ffflint,,,,,13.5,14.4,13.2
6,4206,Wrexham,Wrecsam,,,,,13.8,14.6,12.9
7,18,Powys,Powys,,,,,20.7,21.1,18.6
8,4286-7,Ceredigion,Ceredigion,,,,,59.1,52,47.3
9,4282,Pembrokeshire,Sir Benfro,,,,,18.3,21.8,19.2
10,4284-1,Sir Gaerfyrddin,Sir Gaerfyrddin,,,,,54.8,50.3,43.9
11,4306,Swansea,Abertawe,,,,,13.3,13.4,11.4
12,4322,Castell-nedd Port Talbot,Castell-nedd Port Talbot,,,,,17.9,18,15.3
13,4532,Pen-y-bont ar Ogwr,Pen-y-bont ar Ogwr,,,,,8.3,10.8,9.7
14,4518,Glamorgan,Bro Morgannwg,,,,,6.8,11.3,10.8
15,4326,Rhondda Cynon Taf,Rhondda Cynon Taf,,,,,9,12.5,12.3
16,4328,Merthyr Tydfil,Merthyr Tudful,,,,,7.5,10.2,8.9
17,4318,Caerphilly,Caerffili,,,,,6,11.2,11.2
18,4324,Blaenau Gwent,Blaenau Gwent,,,,,2.2,9.5,7.8
19,4320,Tor-faen,Tor-faen,,,,,2.4,11.1,9.8
20,26,Sir Fynwy,Sir Fynwy,,,,,2.2,9.3,9.9
21,4530,Newport,Casnewydd,,,,,2.3,10,9.3
22,4520,Cardiff,Caerdydd,,,,,6.6,11,11.1
23,4252,Angelsey,Sir Fôn,79.8,75.5,65.7,61,,,
24,4216,Breconshire,Brycheiniog,30.3,28.1,22.9,19.3,,,
25,4286,Caernarfonshire,Sir Gaernarfon,71,68.3,62,59.7,,,
26,4230,Ceredigion,Sir Aberteifi,79.5,74.8,67.6,63.2,,,
27,4212,Carmarthenshire,Sir Gâr,77.3,75.1,66.5,60,,,
28,4258,Denbighshire,Sir Ddinbych,38.5,34.8,28.1,24.2,,,
29,4246,Flintshire,Sir y Fflint,21.1,19,14.7,13.5,,,
30,46,Glamorgan,Sir Forgannwg,20.3,17.2,11.8,10,,,
31,4248,Merionethshire,Sir Feirionnydd,75.4,75.9,73.5,68.2,,,
32,34,Monmouthshire,Sir Fynwy,3.5,3.4,2.1,2.7,,,
33,30,Montgomeryshire,Sir Drefaldwyn,35.1,32.3,28.1,24,,,
34,4210,Pembrokeshire,Sir Benfro,26.9,24.4,20.7,18.1,,,
35,4228,Radnorshire,Sir Faesyfed,4.5,4.5,3.7,5,,,
